ID,Nombre
465,Potencia instalada de generación convencional Turbinación bombeo
466,Potencia instalada de generación convencional Nuclear
467,Potencia instalada de generación convencional Hulla antracita
468,Potencia instalada de generación convencional Hulla sub-bituminosa
469,Potencia instalada de generación convencional Ciclo combinado
470,Potencia instalada de generación convencional Fuel
471,Potencia instalada de generación convencional Gas Natural
472,Potencia disponible de generación Hidráulica UGH horizonte horario
473,Potencia disponible de generación Turbinación bombeo horizonte horario
474,Potencia disponible de generación Nuclear horizonte horario
475,Potencia disponible de generación Hulla antracita horizonte horario
476,Potencia disponible de generación Hulla sub-bituminosa horizonte horario
477,Potencia disponible de generación Ciclo combinado horizonte horario
478,Potencia disponible de generación Fuel horizonte horario
479,Potencia disponible de generación Gas Natural horizonte horario
480,Potencia disponible de generación Hidráulica UGH horizonte año móvil
481,Potencia disponible de generación Turbinación bombeo horizonte año móvil
482,Potencia disponible de generación Nuclear horizonte año móvil
483,Potencia disponible de generación Hulla antracita horizonte año móvil
484,Potencia disponible de generación Hulla sub-bituminosa horizonte año móvil
485,Potencia disponible de generación Ciclo combinado horizonte año móvil
486,Potencia disponible de generación Fuel horizonte año móvil
487,Potencia disponible de generación Gas Natural horizonte año móvil
488,Capacidad de intercambio (NTC) con Francia importación
489,Capacidad de intercambio (NTC) con Portugal importación
490,Capacidad de intercambio (NTC) con Marruecos importación
491,Capacidad de intercambio (NTC) con Andorra importación
492,Capacidad de intercambio (NTC) con Francia exportación
493,Capacidad de intercambio (NTC) con Portugal exportación
494,Capacidad de intercambio (NTC) con Marruecos exportación
495,Capacidad de intercambio (NTC) con Andorra exportación
496,Capacidad de intercambio autorizada con Francia importación
497,Capacidad de intercambio autorizada con Francia exportación
498,Capacidad de intercambio prevista (NTC) con Francia horizonte semanal importación
499,Capacidad de intercambio prevista (NTC) con Portugal horizonte semanal importación
500,Capacidad de intercambio prevista (NTC) con Marruecos horizonte semanal importación
501,Capacidad de intercambio prevista (NTC) con Andorra horizonte semanal importación
502,Capacidad de intercambio prevista (NTC) con Francia horizonte semanal exportación
503,Capacidad de intercambio prevista (NTC) con Portugal horizonte semanal exportación
504,Capacidad de intercambio prevista (NTC) con Marruecos horizonte semanal exportación
